studio,1,ワンルームマンション,大広間,ライブハウス,別荘,TOEIC600点レベル,名詞,住宅・不動産,ワンルームマンション
inhabit,1,住む,引っ越す,抗議する,交渉する,TOEIC600点レベル,動詞,住宅・不動産,住む
move,1,引っ越す,寝る,住み着く,施錠する,TOEIC600点レベル,動詞,住宅・不動産,引っ越す
settle,1,住み着く,移転する,修理する,取り換える,TOEIC600点レベル,動詞,住宅・不動産,住み着く
apartment,1,アパート,一軒家,部品,工場,TOEIC600点レベル,名詞,住宅・不動産,アパート
site,1,用地,大都市,工業地帯,小屋,TOEIC600点レベル,名詞,住宅・不動産,用地
lot,1,用地,幸運,交差点,都市,TOEIC600点レベル,名詞,住宅・不動産,用地
trade,1,商売する,購入する,控除する,交渉する,TOEIC600点レベル,動詞,商取引・販売,商売する
transact,1,取引する,契約する,輸送する,転送する,TOEIC600点レベル,動詞,商取引・販売,取引する
dealer,1,取引業者,手品師,詐欺師,親会社,TOEIC600点レベル,名詞,商取引・販売,取引業者
auction,1,競売,占有,参入,契約,TOEIC600点レベル,名詞,商取引・販売,競売
margin,1,利ざや,賠償金,入場料,消費税,TOEIC600点レベル,名詞,商取引・販売,利ざや
commission,1,手数料,頭金,残高,会費,TOEIC600点レベル,名詞,商取引・販売,手数料
used,1,中古の,壊れた,新品の,時代遅れの,TOEIC600点レベル,形容詞,商取引・販売,中古の
expensive,1,高価な,安価な,購入可能な,鋭い,TOEIC600点レベル,形容詞,値段・料金,高価な
inexpensive,1,安価な,高価な,莫大な,非売品の,TOEIC600点レベル,形容詞,値段・料金,安価な
cheap,1,安価な,高価な,無料の,値引きの,TOEIC600点レベル,形容詞,値段・料金,安価な
purchase,1,購入する,販売する,契約する,追跡する,TOEIC600点レベル,動詞,値段・料金,購入する
bargain,1,特価品,売れ残り,期限切れの,税抜きの,TOEIC600点レベル,名詞,値段・料金,特価品
discount,1,割引,追加料金,欠品,無料,TOEIC600点レベル,名詞,値段・料金,割引
lower,1,下げる,上げる,流れる,無くなる,TOEIC600点レベル,動詞,値段・料金,下げる
coupon,1,割引券,無料券,入場券,商取引,TOEIC600点レベル,名詞,値段・料金,割引券
rate,1,(単位当たりの)料金,サービス料,運賃,税金,TOEIC600点レベル,名詞,値段・料金,(単位当たりの)料金
check,1,請求,家賃,切符,口座,TOEIC600点レベル,名詞,値段・料金,請求
in cash,1,現金で,クレジットで,振込で,ローンで,TOEIC600点レベル,熟語,値段・料金,現金で
