document,4,ファイル,データ,契約,文書,TOEIC600点レベル,名詞,事務用品・日常用品,文書
a few,2,たくさんの,少しの,ほとんどの,ほどほどの,TOEIC600点レベル,熟語,数量表現,少しの
hang,1,掛ける,引っ張る,通す,押す,TOEIC600点レベル,動詞,データなし,掛ける
develop,2,明らかにする,発展させる,送る,包装する,TOEIC600点レベル,動詞,データなし,発展させる
encourage,1,励ます,両替する,交換する,助言する,TOEIC600点レベル,動詞,データなし,励ます
envelop,2,名刺,封筒,用紙,重要書類,TOEIC600点レベル,名詞,連絡(手紙・メール・電話),封筒
describe,4,説得する,考慮に入れる,分析する,説明する,TOEIC600点レベル,動詞,データなし,説明する
fold,2,落とす,折る,溢れる,つるす,TOEIC600点レベル,動詞,データなし,折る
interview,1,面接,講演,即興,講義,TOEIC600点レベル,名詞,雇用・求人募集,面接
instrument,2,機関,楽器,修繕,調整,TOEIC600点レベル,名詞,事務用品・日常用品,楽器
avoid,1,避ける,曲げる,批判する,妨害する,TOEIC600点レベル,動詞,データなし,避ける
find out,2,公開する,発見する,実験する,分別する,TOEIC600点レベル,熟語,データなし,発見する
load,1,積み込む,調べる,出発する,進む,TOEIC600点レベル,動詞,データなし,積み込む
pick up,2,指し示す,迎えに行く,持ち上げる,前進する,TOEIC600点レベル,熟語,データなし,迎えに行く
fix,4,計算する,調査する,積み上げる,修理する,TOEIC600点レベル,動詞,データなし,修理する
prevent,1,防ぐ,妨害する,保護する,交渉する,TOEIC600点レベル,動詞,データなし,防ぐ
fountain,1,噴水,竜巻,洪水,にわか雨,TOEIC600点レベル,名詞,データなし,噴水
ladder,2,階段,はしご,横断歩道,ひも,TOEIC600点レベル,名詞,事務用品・日常用品,はしご
locate,3,設置する,引き継ぐ,位置する,調整する,TOEIC600点レベル,動詞,データなし,位置する
receipt,2,レシピ,領収書,受付,受話器,TOEIC600点レベル,名詞,事務用品・日常用品,領収書
appreciate,1,感謝する,整頓する,抗議する,歓迎する,TOEIC600点レベル,動詞,データなし,感謝する
baggage,2,かご,手荷物,檻,桶,TOEIC600点レベル,名詞,事務用品・日常用品,手荷物
submit,2,接続する,提出する,発送する,到着する,TOEIC600点レベル,動詞,データなし,提出する
forecast,1,予報,予防,回想,検証,TOEIC600点レベル,名詞,データなし,予報
environment,1,環境,屋外,現象,人工,TOEIC600点レベル,名詞,データなし,環境
mail,1,郵便物,店舗,鎧,発送,TOEIC600点レベル,名詞,連絡(手紙・メール・電話),郵便物
expense,1,費用,最小,積載量,縮小,TOEIC600点レベル,名詞,財務・会計,費用
deal,1,取引,代替,積荷,交換,TOEIC600点レベル,名詞,商取引・販売,取引
admit,1,認める,発言する,拒否する,提唱する,TOEIC600点レベル,動詞,データなし,認める
landscape,1,風景,絵画,地形,背景,TOEIC600点レベル,名詞,データなし,風景
degree,1,学位,学習,学会,学祭,TOEIC600点レベル,名詞,データなし,学位
conference,1,会議,相談,会話,歓談,TOEIC600点レベル,名詞,会議・議論,会議
track,1,線路,車道,積荷,車輪,TOEIC600点レベル,名詞,データなし,線路
aware,1,気づいている,見ている,着る,暖める,TOEIC600点レベル,動詞,データなし,気づいている
shelf,1,棚,杖,シャツ,泥棒,TOEIC600点レベル,名詞,事務用品・日常用品,棚
hold,1,つかむ,折る,落ちる,止まる,TOEIC600点レベル,動詞,データなし,つかむ
