profession,1,職業,教育,年齢,経歴,TOEIC700点レベル,名詞,データなし,職業
supervisor,1,上司,部下,先輩,同僚,TOEIC700点レベル,名詞,役職・部署,上司
ensure,1,保証する,取得する,寄付する,宣言する,TOEIC700点レベル,動詞,データなし,保証する
submission,1,提出,手当,投稿,受け入れ,TOEIC700点レベル,名詞,データなし,提出
notify,1,知らせる,書き記す,許可する,招待する,TOEIC700点レベル,動詞,連絡(手紙・メール・電話),知らせる
definitely,1,間違いなく,だいたい,完全に,たいてい,TOEIC700点レベル,副詞,データなし,間違いなく
eligible,1,資格がある,有望な,失格の,落ち込んだ,TOEIC700点レベル,形容詞,雇用・求人募集,資格がある
paperwork,1,書類,辞典,手数料,領収書,TOEIC700点レベル,名詞,データなし,書類
complimentary,1,無料の,不完全な,添付の,人工の,TOEIC700点レベル,形容詞,値段・料金,無料の
revise,1,改訂する,再建する,改心する,監査する,TOEIC700点レベル,動詞,報道・出版,改訂する
administrative,1,管理の,文学の,医療の,販売の,TOEIC700点レベル,形容詞,データなし,管理の
retail,1,小売り,製造,研究,投資,TOEIC700点レベル,名詞,商取引・販売,小売り
inventory,1,在庫,材料,箇条書き,残高,TOEIC700点レベル,名詞,商取引・販売,在庫
extensive,1,広範な,新鮮な,簡単な,独特の,TOEIC700点レベル,形容詞,データなし,広範な
promotional,1,販促の,経営の,詳細な,規制的な,TOEIC700点レベル,形容詞,広告・宣伝,販促の
catering,1,仕出し,卸売り,運送,販売,TOEIC700点レベル,名詞,データなし,仕出し
wildlife,1,野生生物,人生,文学,地球,TOEIC700点レベル,名詞,データなし,野生生物
imply,1,暗示する,規定する,発行する,奨励する,TOEIC700点レベル,動詞,データなし,暗示する
banquet,1,夕食会,バケツ,牧草,積荷,TOEIC700点レベル,名詞,データなし,夕食会
valid,1,有効な,無用の,禁止の,新鮮な,TOEIC700点レベル,形容詞,データなし,有効な
affordable,1,余裕のある,簡単な,開かれた,家族向けの,TOEIC700点レベル,形容詞,データなし,余裕のある
renovate,1,改装する,観光する,再考する,表示する,TOEIC700点レベル,動詞,住宅・不動産,改装する
guidelines,1,指針,登録,物品,寄付,TOEIC700点レベル,名詞,データなし,指針
certificate,1,証明書,装飾品,企画書,行為,TOEIC700点レベル,名詞,雇用・求人募集,証明書
innovative,1,革新的な,難解な,楽しい,建設的な,TOEIC700点レベル,形容詞,データなし,革新的な
agenda,1,議題,外国,代用,発見,TOEIC700点レベル,名詞,会議・議論,議題
assembly,1,組み立て,建築物,分配,並べ替え,TOEIC700点レベル,名詞,データなし,組み立て
install,1,設置する,削除する,発見する,入れ替える,TOEIC700点レベル,動詞,データなし,設置する
orientation,1,説明会,野外活動,遠足,討論,TOEIC700点レベル,名詞,データなし,説明会
renowned,1,著名な,興味深い,独占的な,高価な,TOEIC700点レベル,形容詞,データなし,著名な
appropriate,1,適切な,明るい,礼儀正しい,難解な,TOEIC700点レベル,形容詞,データなし,適切な
ingredient,1,材料,野菜,特徴,健康,TOEIC700点レベル,名詞,データなし,材料
storage,1,貯蔵,商品棚,在庫,機能,TOEIC700点レベル,名詞,データなし,貯蔵
beverage,1,飲み物,バー,ジョッキ,鳥かご,TOEIC700点レベル,名詞,データなし,飲み物
prior,1,前の,次の,連続の,劣った,TOEIC700点レベル,形容詞,時間・頻度に関する表現,前の
merger,1,合併,整頓,調合,手品,TOEIC700点レベル,名詞,企業形態・企業関連,合併
inn,1,宿,入り口,出口,船,TOEIC700点レベル,名詞,データなし,宿
summary,1,要約,夏休み,手順,意見,TOEIC700点レベル,名詞,データなし,要約
lease,1,賃借,首かざり,契約,税金,TOEIC700点レベル,名詞,住宅・不動産,賃借
defective,1,欠陥のある,刑事の,完成された,保守的な,TOEIC700点レベル,形容詞,コールセンター・クレーム,欠陥のある
quarterly,1,四半期ごとに,年間の,月次の,週間の,TOEIC700点レベル,形容詞,時間・頻度に関する表現,四半期ごとの
extended,1,長期の,拡大された,短縮された,極小の,TOEIC700点レベル,形容詞,時間・頻度に関する表現,長期の
architect,1,建築家,数学者,図面,構造,TOEIC700点レベル,名詞,職業名,建築家
grocery,1,食料雑貨,薬局,農場,料理,TOEIC700点レベル,名詞,データなし,食料雑貨
sculpture,1,彫刻,絵画,写真,建築物,TOEIC700点レベル,名詞,データなし,彫刻
itinerary,1,旅程表,乗り換え,カレンダー,エッセイ,TOEIC700点レベル,名詞,データなし,旅程表
directory,1,名簿,電話帳,地図,登録,TOEIC700点レベル,名詞,連絡(手紙・メール・電話),名簿
expire,1,期限が切れる,輸入する,更新する,販売する,TOEIC700点レベル,動詞,データなし,期限が切れる
vendor,1,販売業者,顧客,観客,通貨,TOEIC700点レベル,名詞,商取引・販売,販売業者
patron,1,愛用者,オウム,店主,富裕層,TOEIC700点レベル,名詞,商取引・販売,愛用者
relocate,1,移転させる,回転させる,交換する,代用する,TOEIC700点レベル,動詞,データなし,移転させる
tourism,1,観光事業,鉄道会社,散歩,買い物,TOEIC700点レベル,名詞,データなし,観光事業
remodel,1,改築する,変装する,ダイエットする,飾る,TOEIC700点レベル,動詞,住宅・不動産,改築する
consumer,1,消費者,生産者,監修,編集者,TOEIC700点レベル,名詞,販売・商取引,消費者
numerous,1,数多くの,わずかな,数学の,物理の,TOEIC700点レベル,形容詞,数量表現,数多くの
payroll,1,給与,領収書,請求書,家計簿,TOEIC700点レベル,名詞,給料・手当,給与
qualified,1,資格がある,適切な,貴重な,確認済みの,TOEIC700点レベル,形容詞,雇用・求人募集,資格がある
appliance,1,電化製品,連盟,採用,企業,TOEIC700点レベル,名詞,データなし,電化製品
competitive,1,競争の激しい,比較された,思いやりのある,偉大な,TOEIC700点レベル,形容詞,データなし,競争の激しい
specialize,1,専門とする,劣化させる,特徴づける,分析する,TOEIC700点レベル,動詞,データなし,専門とする
questionnaire,1,アンケート,模試,記者会見,占い,TOEIC700点レベル,名詞,広告・宣伝,アンケート
approximately,1,おおむね,合理的に,正式に,全く,TOEIC700点レベル,副詞,データなし,おおむね
contribute,1,貢献する,協力する,会議する,説明する,TOEIC700点レベル,動詞,データなし,貢献する
productivity,1,生産性,効率,形式,先進性,TOEIC700点レベル,名詞,データなし,生産性
promptly,1,すばやく,ほとんど,ゆっくり,完全に,TOEIC700点レベル,副詞,データなし,すばやく
strategy,1,戦略,手順,日程,予算,TOEIC700点レベル,名詞,データなし,戦略
dedicated,1,献身的な,急速な,慢性的な,見捨てられた,TOEIC700点レベル,形容詞,データなし,献身的な
exceptional,1,並外れた,余分な,以外の,もう一つの,TOEIC700点レベル,形容詞,データなし,並外れた
luncheon,1,昼食会,披露宴,ブランチ,祝賀会,TOEIC700点レベル,名詞,データなし,昼食会
exceed,1,超える,連続する,進行する,はずす,TOEIC700点レベル,動詞,データなし,超える
multiple,1,複数の,一番の,半数の,同じ数の,TOEIC700点レベル,形容詞,数量表現,複数の
specify,1,明記する,特徴づける,価値を高める,辛くする,TOEIC700点レベル,動詞,データなし,明記する
venue,1,会場,風景,収入,真空,TOEIC700点レベル,名詞,会議・議論,会場
household,1,家庭用の,屋内の,地元の,近所の,TOEIC700点レベル,形容詞,データなし,家庭用の
evaluate,1,評価する,決心する,進化する,歪む,TOEIC700点レベル,動詞,雇用・求人募集,評価する
negotiate,1,交渉する,明らかにする,拒絶する,承諾する,TOEIC700点レベル,動詞,販売・商取引,交渉する
booking,1,予約,本棚,打ち合わせ,辞書,TOEIC700点レベル,名詞,データなし,予約
circulation,1,発行部数,竜巻,関係,家系図,TOEIC700点レベル,名詞,報道・出版,発行部数
completion,1,完了,中止,積み立て,定型文,TOEIC700点レベル,名詞,データなし,完了
relevant,1,関連した,独自の,素晴らしい,抵抗する,TOEIC700点レベル,形容詞,データなし,関連した
thorough,1,徹底的な,大胆な,親切な,不安な,TOEIC700点レベル,形容詞,間違えやすい単語,徹底的な
via,1,経由して,の下に,の内側に,の外側に,TOEIC700点レベル,前置詞,データなし,経由して
workplace,1,職場,家庭,自習室,教室,TOEIC700点レベル,名詞,データなし,職場
accommodations,1,宿泊施設,アメニティ,教習所,受け入れ,TOEIC700点レベル,名詞,データなし,宿泊施設
flexible,1,柔軟な,硬い,美しい,長い,TOEIC700点レベル,形容詞,データなし,柔軟な
preference,1,好み,保存,評判,用意,TOEIC700点レベル,名詞,データなし,好み
substantial,1,かなりの,潜在的な,わずかな,球体の,TOEIC700点レベル,形容詞,データなし,かなりの
accessible,1,到達できる,忙しい,煩雑な,風変わりな,TOEIC700点レベル,形容詞,データなし,到達できる
coverage,1,報道,延長,飲み物,保護,TOEIC700点レベル,名詞,報道・出版,報道
generate,1,生み出す,販売する,収集する,改修する,TOEIC700点レベル,動詞,データなし,生み出す
refreshment,1,軽食,不満,確保,取り消し,TOEIC700点レベル,名詞,データなし,軽食
reliable,1,信頼できる,理解できる,到達できる,受け入れやすい,TOEIC700点レベル,形容詞,データなし,信頼できる
revenue,1,収入,送金,回復,配置,TOEIC700点レベル,名詞,財務・会計,収入
associate,1,関連づける,発明する,切断する,発行する,TOEIC700点レベル,動詞,データなし,関連づける
conflict,1,対立,同意,共通点,摩擦,TOEIC700点レベル,名詞,データなし,対立
investment,1,投資,分配,設立,非公式,TOEIC700点レベル,名詞,データなし,投資
physician,1,医師,作家,科学者,建築家,TOEIC700点レベル,名詞,職業名,医師
token,1,印,講演,一部,割引,TOEIC700点レベル,名詞,データなし,印
partial,1,部分的な,全体的な,固定の,混雑した,TOEIC700点レベル,形容詞,データなし,部分的な
persuasive,1,説得力のある,辛抱強い,時間厳守の,飽きっぽい,TOEIC700点レベル,形容詞,データなし,説得力のある
fund-rasing,1,資金調達の,改築の,成功した,連結した,TOEIC700点レベル,形容詞,財務・会計,資金調達の
accomplished,1,熟練した,保証された,作業中の,生まれた,TOEIC700点レベル,形容詞,データなし,熟練した
acquire,1,得る,寄付する,目標を立てる,特徴づける,TOEIC700点レベル,動詞,データなし,得る
accordingly,1,結果として,代わりに,明らかに,数多くの,TOEIC700点レベル,副詞,データなし,結果として
highlight,1,強調する,販売する,約束する,競う,TOEIC700点レベル,動詞,データなし,強調する
profile,1,人物紹介する,提供する,生産する,移動する,TOEIC700点レベル,動詞,データなし,人物紹介する
motivate,1,やる気にさせる,関連づける,挑戦する,値上げする,TOEIC700点レベル,動詞,データなし,やる気にさせる
subscription,1,定期購読,整理,試験問題,整理券,TOEIC700点レベル,名詞,報道・出版,定期購読
encounter,1,直面する,保証する,完成する,供給する,TOEIC700点レベル,動詞,データなし,直面する
luxury,1,高級な,潤沢な,発展的な,評判のよい,TOEIC700点レベル,形容詞,データなし,高級な
prohibit,1,禁止する,抵抗する,提供する,終了する,TOEIC700点レベル,動詞,データなし,禁止する
resolve,1,解決する,再開する,検討する,停止する,TOEIC700点レベル,動詞,会議・議論,解決する
restore,1,修復する,除去する,推進する,評価する,TOEIC700点レベル,動詞,データなし,修復する
surrounding,1,周辺の,主要な,中間の,遅れている,TOEIC700点レベル,形容詞,データなし,周辺の
alert,1,警告する,廃止する,保存する,書き込む,TOEIC700点レベル,動詞,データなし,警告する
anticipated,1,待ち望まれた,却下された,支援中の,壊れた,TOEIC700点レベル,形容詞,データなし,待ち望まれた
consistently,1,常に,離れて,決定的に,はっきりと,TOEIC700点レベル,副詞,データなし,常に
phase,1,段階,探求,偏向,回復,TOEIC700点レベル,名詞,データなし,段階
manuscript,1,原稿,目録,登録,調査,TOEIC700点レベル,名詞,報道・出版,原稿
overtime,1,残業,締め切り,期限切れ,物流,TOEIC700点レベル,名詞,給料・手当,残業
premises,1,敷地,約束,商品,企業戦略,TOEIC700点レベル,名詞,住宅・不動産,敷地
utility,1,公共料金,電力会社,使い道,政策,TOEIC700点レベル,名詞,住宅・不動産,公共料金
laundry,1,洗濯,財務,地理,遊園地,TOEIC700点レベル,名詞,データなし,洗濯
outline,1,概要を説明する,整備する,規則を破る,フライングする,TOEIC700点レベル,動詞,データなし,概要を説明する
packet,1,小包,微粒子,財布,筆記用具入れ,TOEIC700点レベル,名詞,運送・納品,小包
retain,1,保管する,保証する,促進する,治療する,TOEIC700点レベル,動詞,データなし,保管する
belongings,1,所持品,人事部,環境保護,契約,TOEIC700点レベル,名詞,データなし,所持品
conservation,1,節約,回収,会話,投稿,TOEIC700点レベル,名詞,データなし,節約
routine,1,所定の,文化的な,短縮できる,小さな,TOEIC700点レベル,形容詞,データなし,所定の
urban,1,都会の,海洋の,郊外の,山奥の,TOEIC700点レベル,形容詞,データなし,都会の
workforce,1,全従業員,経営力,販売促進,宣伝活動,TOEIC700点レベル,名詞,雇用・求人募集,全従業員
biography,1,伝記,執筆,書道,伝統,TOEIC700点レベル,名詞,データなし,伝記
ownership,1,所有権,提携,経営,航海,TOEIC700点レベル,名詞,データなし,所有権
pastry,1,焼き菓子,パン工房,食料庫,綿飴,TOEIC700点レベル,名詞,データなし,焼き菓子
tenant,1,賃借人,契約者,訪問者,不動産,TOEIC700点レベル,名詞,住宅・不動産,賃借人
workload,1,仕事量,給料,評判,時間,TOEIC700点レベル,名詞,データなし,仕事量
sufficient,1,十分な,足りない,適切な,効率的な,TOEIC700点レベル,形容詞,数量表現,十分な
characteristic,1,特徴,長所,筆跡,脚本,TOEIC700点レベル,名詞,データなし,特徴
combined,1,共同の,拡大された,分割された,捨てられた,TOEIC700点レベル,形容詞,データなし,共同の
conclude,1,結論を出す,発見する,発熱する,婚約する,TOEIC700点レベル,動詞,会議・議論,結論を出す
securely,1,しっかりと,秘密に,大雑把に,連続して,TOEIC700点レベル,副詞,データなし,しっかりと
strive,1,努力する,挑戦する,遅刻する,合致する,TOEIC700点レベル,動詞,データなし,努力する
timeline,1,予定表,投稿,営業時間,文章,TOEIC700点レベル,名詞,データなし,予定表
acknowledge,1,認める,学習する,没頭する,賞賛する,TOEIC700点レベル,動詞,データなし,認める
diverse,1,多種多様な,弱い,生産的な,多次元の,TOEIC700点レベル,形容詞,データなし,多種多様な
transaction,1,取引,旅行,反応,精算方法,TOEIC700点レベル,名詞,商取引・販売,取引
lack,1,不足,幸運,挫折,不運,TOEIC700点レベル,名詞,データなし,不足
essential,1,不可欠な,厳密な,強力な,隠れた,TOEIC700点レベル,形容詞,データなし,不可欠な
majority,1,大多数,少数,有用性,関心事,TOEIC700点レベル,名詞,データなし,大多数
dealership,1,販売代理店,建設会社,旅行会社,工場,TOEIC700点レベル,名詞,商取引・販売,販売代理店
garment,1,衣料店,楽器店,露店,収入,TOEIC700点レベル,名詞,職業名,衣料店
implement,1,実行する,集合する,販売する,入学する,TOEIC700点レベル,動詞,データなし,実行する
paycheck,1,給与,支出,領収書,小道具,TOEIC700点レベル,名詞,給料・手当,給与
recruit,1,採用する,除外する,評価する,開発する,TOEIC700点レベル,動詞,雇用・求人募集,採用する
substitute,1,代わりに用いる,回復する,修正する,移動する,TOEIC700点レベル,動詞,データなし,代わりに用いる
typically,1,典型的に,絶対に,複雑に,実質的に,TOEIC700点レベル,副詞,データなし,典型的に
authorize,1,公認する,否定する,加速する,話題にする,TOEIC700点レベル,動詞,データなし,公認する
comparable,1,匹敵する,協力する,難しい,複雑な,TOEIC700点レベル,動詞,データなし,匹敵する
faculty,1,教員,機関,准教授,美容院,TOEIC700点レベル,名詞,職業名,教員
initiative,1,主導権,自制心,手数料,動機,TOEIC700点レベル,名詞,データなし,主導権
postage,1,郵便料金,担保,努力,価値のあるもの,TOEIC700点レベル,名詞,値段・料金,郵便料金
afterwards,1,その後で,次に続く,代わりの,前に,TOEIC700点レベル,副詞,時間・頻度に関する表現,その後で
aim,1,目指す,投票する,精算する,射撃する,TOEIC700点レベル,動詞,データなし,目指し
generally,1,おおむね,もともと,根本的に,詳細に,TOEIC700点レベル,副詞,データなし,おおむね
occupied,1,使われている,空いている,特権的な,解答済みの,TOEIC700点レベル,形容詞,データなし,使われている
solid,1,確かな,難解な,大変な,静かな,TOEIC700点レベル,形容詞,データなし,確かな
attempt,1,試み,口座,責任,幻覚,TOEIC700点レベル,名詞,データなし,試み
authority,1,権威,対応,名誉,表彰,TOEIC700点レベル,名詞,データなし,権威
domestic,1,国内の,国外の,積極的な,苦い,TOEIC700点レベル,形容詞,データなし,国内の
permission,1,許可,転送,持続,配信,TOEIC700点レベル,名詞,データなし,許可
presence,1,存在感,降水,引用,編集,TOEIC700点レベル,名詞,データなし,存在感
