lumber,1,木材,監督,映画館,高級感,TOEIC800点レベル,名詞,データなし,木材
reverse,1,反対の,心地よい,文法の,反復する,TOEIC800点レベル,形容詞,データなし,反対の
voluntary,1,自主的な,緊急の,十分な,お金のない,TOEIC800点レベル,形容詞,データなし,自主的な
contractor,1,契約業者,重機,郵便配達,図書館,TOEIC800点レベル,名詞,データなし,契約業者
on-site,1,社内の,全体の,ネットワーク上の,時間通りの,TOEIC800点レベル,形容詞,データなし,社内の
comprehensive,1,包括的な,一時的な,理解しがたい,経験のある,TOEIC800点レベル,形容詞,データなし,包括的な
confidential,1,機密扱いの,正式な,可能な,真実の,TOEIC800点レベル,形容詞,連絡(手紙・メール・電話),機密扱いの
expertise,1,専門知識,栄光,外来語,輸出,TOEIC800点レベル,名詞,データなし,専門知識
premier,1,最高の,限定の,事前の,耀く,TOEIC800点レベル,形容詞,データなし,最高の
souvenir,1,土産物,食器,免許,前菜,TOEIC800点レベル,名詞,データなし,土産物
rafting,1,川下り,地滑り,漂流,回転,TOEIC800点レベル,名詞,データなし,川下り
compartment,1,一区画,バス停,部品,変換,TOEIC800点レベル,名詞,データなし,一区画
fabric,1,生地,光線,衣類,装飾,TOEIC800点レベル,名詞,データなし,生地
spacious,1,広々とした,疑わしい,豪華な,宇宙の,TOEIC800点レベル,形容詞,データなし,広々とした
upgrade,1,改良,編集,訂正,高学年,TOEIC800点レベル,名詞,データなし,改良
showcase,1,展示する,装飾する,例示する,明らかにする,TOEIC800点レベル,動詞,広告・宣伝,展示する
commuter,1,通勤者,プレゼンター,仲介人,コールセンター,TOEIC800点レベル,名詞,データなし,通勤者
enhance,1,向上させる,積載する,競争する,崇拝する,TOEIC800点レベル,動詞,データなし,向上させる
freight,1,貨物,恐怖,海軍,後悔,TOEIC800点レベル,名詞,運送・納品,貨物
nominate,1,推薦する,形作る,改名する,命名する,TOEIC800点レベル,動詞,データなし,推薦する
discontinued,1,販売が終了した,割引された,持続した,伝統の,TOEIC800点レベル,動詞,販売・商取引,販売が終了した
mentoring,1,メンター制度,中心,隕石,精神分析,TOEIC800点レベル,名詞,データなし,メンター制度
personalized,1,名前入りの,一般化された,人気のない,賑わった,TOEIC800点レベル,形容詞,データなし,名前入りの
pharmacy,1,薬局,旅行代理店,不動産,倉庫,TOEIC800点レベル,名詞,データなし,薬局
excerpt,1,抜粋,限定,輸出,上級者,TOEIC800点レベル,名詞,間違えやすい単語,抜粋
publicize,1,宣伝する,並べる,消毒する,出版する,TOEIC800点レベル,動詞,広告・宣伝,宣伝する
tuition,1,授業料,直感,税金,収穫物,TOEIC800点レベル,名詞,値段・料金,授業料
compliance,1,順守,現代,完了,複雑,TOEIC800点レベル,名詞,企業形態・企業関連,順守
clarify,1,明確にする,発言する,解説する,曖昧にする,TOEIC800点レベル,動詞,データなし,明確にする
municipal,1,市の,田舎の,主な,大規模な,TOEIC800点レベル,形容詞,データなし,市の
respectively,1,それぞれ,次第に,あくまで,毎回,TOEIC800点レベル,副詞,データなし,それぞれ
durable,1,耐久性がある,信頼性がある,壊れやすい,柔らかい,TOEIC800点レベル,形容詞,データなし,耐久性がある
landmark,1,名所,山脈,途中経過,地形,TOEIC800点レベル,名詞,データなし,名所
portfolio,1,作品集,領土,売上高,品目,TOEIC800点レベル,名詞,データなし,作品集
recipient,1,受取人,観覧席,調理法,招待客,TOEIC800点レベル,名詞,連絡(手紙・メール・電話),受取人
